"-"
"Austin, Gerard"
"Austin, Greta"
"Austin, Rodger J."
"Australian Bishops’ Conference"
"Autiero, Antonio"
"Autsch, Rainer"
"Avis, Paul"
"Avramovi?, Sima"
"Avril, Joseph"
"Axer, Peter"
"Ayala Partida, Rogelio"
"Ayel, Vincent"
"Ayerra Sola, Carlos-Esteban"
"Aymanathil, Joseph"
"Aymans, Winfried"
"Ayuban, Elias L."
"Azevedo, Marcello"
"Aznar Gil, Federico"
"Aznar Gil, Federico Rafael"
"Aznar Gil, Federico R."
"Aznar Gil, Frederico R."
"Azzimonti, Carlo"
"Baán, István"
"Baas, Britta"
"Baatz, Ursula"
"Babé, Lourdes"
"Babiak, Augustyn"
"Babke, Hans-Georg"
"Babo, Markus"
"Bacareza, Hermogenes","1038818311"
"Bacareza, Hermógenes E.","1038818311"
"Baccari, Renato"
"Baccioli, Carlos"
"Bachl, Gottfried"
"Bachof, Otto"
"Bächtiger, André"
"Backeljauw, Joris"
"Backhaus, Knut"
"Baconnet, Jean-Pierre"
"Bader, Veit"
"Badura, Peter"
"Baena del Alcazar, Mariano"
"BAG","1086398920"
"Bagella, Michele"
"Baggio, Sebastiano"
"Bahá’í-Religionsgemeinschaft Österreich"
"Bahbout, Mino"
"Bahillo Ruiz, Teodoro"
"Bahr, Matthias"
"Baillargeon, Paul E."
"Bair, Johann"
"Bajada, Joseph"
"Bajcar, Michal"
"Baker, John"
"Bakhoum, Hany N."
"Balagapo, Erwin A."
"Balagapo, Erwin J. A."
"Balbi, Raffaele"
"Balboni, Dante"
"Baldas, Eugen"
"Bald, Detlef"
"Baldisserato, Giovanni"
"Baldi, Stefania"
"Baldovin, John F."
"Baldovin, John S."
"Balducci, Marina"
"Baldus, Manfred"
"Balhoff, Michael J."
"Ballarani, Gianni"
"Ballin, Camillo"
"Balodis, Ringolds"
"Balogh, Elemér"
"Baltl, Hermann"
"Baluma, Artemio"
"Bälz, Ulrich"
"Bamberg, Anne"
"Bamuene Solo, Darius"
"Bañares, Juan Ignacio"
"Bañares, Juan I."
"Bandeira Galindo, George R."
"Bandera González, Armando"
"Bandini Confalonieri, Luca"
"Banjo, Michael A."
"Bank für Kirche und Caritas eG, Paderborn","10061386-X"
"Bank im Bistum Essen eG","10185203-4"
"Bannon, Michael"
"Bantle, Kurt"
"Bantzhaff, Sarah"
"Baquero de la C. Rivadeneira, Jaime"
"Barak-Erez, Daphne"
"Barbara, Just"
"Barbati, Carla"
"Barberini, Giovanni"
"Barber, Juan Damián Gandía"
"Barber, Noel"
"Barbero, Paola"
"Barber, Paul"
"Barber Pont, Arcadio"
"Barber, Ross"
"Barbier, Hubert"
"Barbieri, Christiano"
"Barbieri, Cristiano"
"Barbieri, Luigi"
"Barbuscia, Ignazio"
"Barceló, Rafael Ramis"
"Bardi, Mauro"
"Barett, Richard J."
"Bargioni, Stefano"
"Barolo, Luigi"
"Barone, Alfonso"
"Barra, Rodolfo C."
"Barr, Diane"
"Barr, Diane L."
