18763503X,Ecclesiastical Law Journal
171198824,Cuadernos Doctorales. Excerpta e dissertationibus in iure canonico,Cuadernos Doctorales. Excerpta e dissertationibus in iure canonico
228001145,Decreta selecta,Decreta selecta
546245722,Die Mitarbeitervertretung,Die Mitarbeitervertretung
131144111,Dissertationen. Kanonistische Reihe,Dissertationen. Kanonistische Reihe
1178052699,Dissertationes. Series Canonica,Dissertationes. Series Canonica
635605740,Iura Orientalia,Iura Orientalia
768578809,Iustitia. Dharmaram Journal of Canon Law,Iustitia : Dharmaram Journal of canon law
738405035,Kanonistische Reihe,Kanonistische Reihe
181986124,Kirche heute. Aufbruch der Kirche in eine neue Zeit ,Kirche heute : Aufbruch der Kirche in eine neue Zeit
769571093,Eastern Canon Law,Eastern canon law : St. Athanasius Greek-Catholic Theological Institute
1655838261,Entscheidungen in Kirchensachen seit 1946,Entscheidungen in Kirchensachen seit 1946
384864945,Kirchen- und Staatskirchenrecht,Kirchen- und Staatskirchenrecht
320633101,Kirchenrechtliche Bibliothek,Kirchenrechtliche Bibliothek
167737457,Verordnungsblatt des Katholischen Militärbischofs für die Deutsche Bundeswehr,Verordnungsblatt des Katholischen Militärbischofs für die Deutsche Bundeswehr
853206333,Mainzer Beiträge zu Kirchen- und Religionsrecht,Mainzer Beiträge zu Kirchen- und Religionsrecht
771961308,Ius missionale,Ius missionale : annuario della Facoltà di Diritto Canonico / Pontificia Università Urbaniana
771961308,Quaderni di diritto ecclesiale,Quaderni di diritto ecclesiale
528336649,Münsterischer Kommentar zum Codex Iuris Canonici. Beihefte,Münsterischer Kommentar zum Codex iuris canonici : Beihefte
166458023,Nuntia,Nuntia : commentarium cura et studio Pontificiae Commissionis Codici Juris Canonici Orientalis recognoscendo
166919276,Offerten Zeitung,"Offerten-Zeitung für die katholische Geistlichkeit Deutschlands, Klöster, Krankenhäuser, Anstalten und Vereine"
171019512,Offerten Zeitung,Offerten-Zeitung für die katholische Geistlichkeit und engagierte Gläubige
